Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
21045778,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
21046034,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21046284,000005A0,false,Rx,0,8,64,01,00,52,C3,00,00,30,
21052822,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,93,
21055721,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
21055829,00000420,false,Rx,0,8,06,78,78,44,00,00,FF,00,
21059886,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,94,
21060095,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21060270,000005A0,false,Rx,0,8,64,01,00,00,D1,00,00,30,
21066807,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,95,
21073798,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,96,
21074051,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21075695,000005A0,false,Rx,0,8,64,01,00,AE,DE,00,00,30,
21080087,00000570,false,Rx,0,4,07,00,00,00,00,00,00,00,
21080813,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,97,
21081310,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
21087858,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,98,
21088113,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21088359,000005A0,false,Rx,0,8,64,01,00,5C,EC,00,00,30,
21095796,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,99,
21101864,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9A,
21102076,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21102327,000005A0,false,Rx,0,8,64,01,00,0A,FA,00,00,30,
21106289,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
21106624,000005D8,false,Rx,0,8,15,04,00,03,01,00,00,00,
21106945,000005D0,false,Rx,0,6,80,47,51,00,24,41,00,00,
21107270,00000520,false,Rx,0,8,02,04,01,1E,80,75,34,04,
21108890,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9B,
21115872,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9C,
21116051,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21116304,000005A0,false,Rx,0,8,64,01,00,B8,07,00,00,30,
21122814,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9D,
21129887,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9E,
21130143,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21130315,000005A0,false,Rx,0,8,64,01,00,66,15,00,00,30,
21131102,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
21132264,00000050,false,Rx,0,4,00,01,10,11,00,00,00,00,
21136990,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9F,
21143868,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,90,
21144123,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21144373,000005A0,false,Rx,0,8,64,01,00,14,23,00,00,30,
21150837,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,91,
21152226,00000050,false,Rx,0,4,00,01,20,21,00,00,00,00,
21155865,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
21157960,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
21158217,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21158388,000005A0,false,Rx,0,8,64,01,00,C2,30,00,00,30,
21164858,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,93,
21171853,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,94,
21172102,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21172279,00000050,false,Rx,0,4,00,01,30,31,00,00,00,00,
21172533,000005A0,false,Rx,0,8,64,01,00,70,3E,00,00,30,
21179006,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,95,
21180419,00000570,false,Rx,0,4,07,00,00,00,00,00,00,00,
21181527,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
21182383,00000588,false,Rx,0,8,E0,00,00,00,00,00,00,00,
21185937,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,96,
21186143,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21186394,000005A0,false,Rx,0,8,64,01,00,1E,4C,00,00,30,
21188312,00000288,false,Rx,0,8,0C,52,10,00,00,56,00,00,
21188572,00000380,false,Rx,0,8,00,4E,00,00,00,00,00,00,
21192404,00000480,false,Rx,0,8,19,20,00,00,00,FF,00,C6,
21192530,00000050,false,Rx,0,4,00,01,40,41,00,00,00,00,
21192926,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,97,
21198423,00000280,false,Rx,0,8,01,00,00,00,00,00,2C,00,
21198617,00000488,false,Rx,0,8,C9,00,00,7F,A6,00,00,10,
21200008,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,98,
21200258,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21200512,000005A0,false,Rx,0,8,64,01,00,CC,59,00,00,30,
21202346,00000588,false,Rx,0,8,E5,00,7F,00,31,00,00,00,
21206459,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
21206792,000005D8,false,Rx,0,8,15,04,00,03,01,00,00,00,
21207041,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,99,
21207217,000005D0,false,Rx,0,6,80,47,51,30,24,41,00,00,
21208300,00000288,false,Rx,0,8,0C,52,00,00,00,00,00,00,
21208560,00000380,false,Rx,0,8,00,4E,00,00,00,00,00,00,
21212369,00000480,false,Rx,0,8,19,22,00,00,19,06,00,24,
21212553,00000050,false,Rx,0,4,00,01,50,51,00,00,00,00,
21214013,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9A,
21214264,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21216010,000005A0,false,Rx,0,8,64,01,00,7A,67,00,00,30,
21218352,00000280,false,Rx,0,8,01,00,00,00,00,00,2C,00,
21218555,00000488,false,Rx,0,8,F9,00,00,7F,A6,00,00,20,
21221000,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9B,
21222314,00000588,false,Rx,0,8,ED,00,7F,00,4A,00,00,00,
21227873,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9C,
21228130,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21228377,00000288,false,Rx,0,8,0C,52,00,00,00,56,00,00,
21228631,00000380,false,Rx,0,8,00,4E,00,08,00,00,00,00,
21228877,000005A0,false,Rx,0,8,64,01,00,28,75,00,00,30,
21232320,00000320,false,Rx,0,8,02,06,00,01,00,00,00,00,
21232445,00000050,false,Rx,0,4,00,01,60,61,00,00,00,00,
21232699,00000480,false,Rx,0,8,19,22,00,00,19,06,00,24,
21235998,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9D,
21238303,00000280,false,Rx,0,8,01,73,00,00,73,00,2C,00,
21238570,00000488,false,Rx,0,8,E9,00,00,7F,A6,00,00,30,
21241997,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9E,
21242248,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21242502,00000588,false,Rx,0,8,E9,01,7F,00,57,00,00,00,
21242748,000005A0,false,Rx,0,8,64,01,00,D6,82,00,00,30,
21248369,00000288,false,Rx,0,8,75,52,00,00,00,56,00,00,
21248553,00000380,false,Rx,0,8,00,4E,00,08,00,00,00,00,
21248949,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9F,
21252305,00000480,false,Rx,0,8,53,22,00,00,19,06,00,6E,
21252482,00000050,false,Rx,0,4,00,01,70,71,00,00,00,00,
21256124,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,90,
21256308,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21256563,000005A0,false,Rx,0,8,64,01,00,84,90,00,00,30,
21256734,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
21257128,00000420,false,Rx,0,8,06,78,78,44,00,00,FF,00,
21258359,00000280,false,Rx,0,8,01,73,00,00,73,00,2C,00,
21258569,00000488,false,Rx,0,8,99,00,00,7F,A6,00,00,40,
21262373,00000588,false,Rx,0,8,E9,01,7F,00,5D,00,00,00,
21263084,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,91,
21264323,00000010,false,Rx,0,6,79,32,FE,76,13,EB,00,00,
21268339,00000288,false,Rx,0,8,75,52,00,00,00,56,00,00,
21268598,00000380,false,Rx,0,8,00,4E,00,08,00,00,00,00,
21269985,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
21270237,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21270482,000005A0,false,Rx,0,8,64,01,00,32,9E,00,00,30,
21272325,00000480,false,Rx,0,8,53,22,00,00,19,06,00,6E,
21272509,00000050,false,Rx,0,4,00,01,80,81,00,00,00,00,
