Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
917144021,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,16
917150994,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,17
917158093,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,18
917164935,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,19
917172189,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1A
917179078,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1B
917185947,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1C
917193016,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1D
917200078,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1E
917206988,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1F
917214038,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,10
917221077,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,11
917227993,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,12
917235026,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,13
917242098,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,14
917250415,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,15
917256083,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,16
917263082,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,17
917270450,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,18
917277049,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,19
917284115,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1A
917291074,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1B
917298213,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1C
917304984,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1D
917312263,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1E
917319146,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1F
917326000,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,10
917333103,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,11
917340143,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,12
917347086,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,13
917354133,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,14
917361321,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,15
917368154,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,16
917375169,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,17
917382167,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,18
917390596,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,19
917396184,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1A
917403146,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1B
917410638,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1C
917417340,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1D
917424213,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1E
917431173,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1F
917438279,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,10
917445149,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,11
917452151,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,12
917459218,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,13
917466090,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,14
917473186,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,15
917480231,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,16
917487321,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,17
917494216,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,18
917501323,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,19
917508139,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1A
917515160,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1B
917522269,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1C
917529207,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1D
917536232,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1E
917543308,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1F
917550947,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,10
917557374,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,11
917564271,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,12
917571370,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,13
917578363,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,14
917585206,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,15
917592270,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,16
917599317,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,17
