Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6489048,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6489296,000005A0,false,Rx,0,8,64,01,00,B8,07,00,00,30,
6491070,00000320,false,Rx,0,8,02,06,00,01,00,00,00,00,
6495870,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9D,
6502826,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9E,
6503028,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6503282,000005A0,false,Rx,0,8,64,01,00,66,15,00,00,30,
6504826,00000050,false,Rx,0,4,00,01,10,11,00,00,00,00,
6509858,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9F,
6515410,00000320,false,Rx,0,8,02,06,00,01,00,00,00,00,
6516878,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,90,
6517135,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6517307,000005A0,false,Rx,0,8,64,01,00,14,23,00,00,30,
6523836,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,91,
6524870,00000050,false,Rx,0,4,00,01,20,21,00,00,00,00,
6530882,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
6531137,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6531384,000005A0,false,Rx,0,8,64,01,00,C2,30,00,00,30,
6537823,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,93,
6539853,00000570,false,Rx,0,4,07,00,EB,00,00,00,00,00,
6541630,00000320,false,Rx,0,8,02,06,00,01,00,00,00,00,
6544916,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,94,
6545043,00000050,false,Rx,0,4,00,01,30,31,00,00,00,00,
6545295,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6545549,000005A0,false,Rx,0,8,64,01,00,70,3E,00,00,30,
6551858,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,95,
6555214,00000588,false,Rx,0,8,E0,00,00,00,00,00,00,00,
6558873,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,96,
6559127,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6559298,000005A0,false,Rx,0,8,64,01,00,1E,4C,00,00,30,
6561727,00000288,false,Rx,0,8,0C,53,10,00,00,56,00,00,
6561750,00000380,false,Rx,0,8,00,4E,00,00,00,00,00,00,
6564923,00000050,false,Rx,0,4,00,01,40,41,00,00,00,00,
6565277,00000480,false,Rx,0,8,19,20,00,00,00,FF,00,C6,
6565911,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,97,
6566311,00000320,false,Rx,0,8,02,06,00,01,00,00,00,00,
6566643,000005D8,false,Rx,0,8,15,04,00,03,01,00,00,00,
6566964,000005D0,false,Rx,0,6,80,47,51,30,24,41,00,00,
6571230,00000280,false,Rx,0,8,01,00,00,00,00,00,2B,00,
6571481,00000488,false,Rx,0,8,C9,00,00,7F,A6,00,00,10,
6572947,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,98,
6573203,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6573452,000005A0,false,Rx,0,8,64,01,00,CC,59,00,00,30,
6575220,00000588,false,Rx,0,8,E5,00,7F,00,31,00,00,00,
6579835,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,99,
6581661,00000288,false,Rx,0,8,0C,53,00,00,00,00,00,00,
6581684,00000380,false,Rx,0,8,00,4E,00,00,00,00,00,00,
6584896,00000050,false,Rx,0,4,00,01,50,51,00,00,00,00,
6585225,00000480,false,Rx,0,8,19,22,00,00,19,06,00,24,
6586996,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9A,
6587249,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6587421,000005A0,false,Rx,0,8,64,01,00,7A,67,00,00,30,
6591198,00000280,false,Rx,0,8,01,00,00,00,00,00,2B,00,
6591451,00000488,false,Rx,0,8,F9,00,00,7F,A6,00,00,20,
6592159,00000320,false,Rx,0,8,02,06,00,01,00,00,00,00,
6594008,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9B,
6595246,00000588,false,Rx,0,8,ED,00,7F,00,4A,00,00,00,
6601796,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9C,
6601823,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6601839,00000288,false,Rx,0,8,0C,53,00,00,00,56,00,00,
6601855,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
6601871,000005A0,false,Rx,0,8,64,01,00,28,75,00,00,30,
6605000,00000050,false,Rx,0,4,00,01,60,61,00,00,00,00,
6605207,00000480,false,Rx,0,8,19,22,00,00,19,06,00,24,
6607960,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9D,
6611248,00000280,false,Rx,0,8,01,71,00,00,71,00,2B,00,
6611505,00000488,false,Rx,0,8,E9,00,00,7F,A6,00,00,30,
6615008,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9E,
6615256,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6615510,00000588,false,Rx,0,8,E9,01,7F,00,57,00,00,00,
6615681,000005A0,false,Rx,0,8,64,01,00,D6,82,00,00,30,
6616690,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
6617017,00000420,false,Rx,0,8,06,78,78,44,00,00,FF,00,
6621800,00000288,false,Rx,0,8,75,53,00,00,00,56,00,00,
6621827,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
6621973,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9F,
6624973,00000050,false,Rx,0,4,00,01,70,71,00,00,00,00,
6625227,00000480,false,Rx,0,8,53,22,00,00,19,06,00,6E,
6628963,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,90,
6629218,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6629469,000005A0,false,Rx,0,8,64,01,00,84,90,00,00,30,
6631237,00000280,false,Rx,0,8,01,71,00,00,71,00,2B,00,
6631496,00000488,false,Rx,0,8,99,00,00,7F,A6,00,00,40,
6635262,00000588,false,Rx,0,8,E9,01,7F,00,5D,00,00,00,
6635991,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,91,
6637186,00000010,false,Rx,0,6,4B,EF,DD,C4,FA,EE,00,00,
6641768,00000570,false,Rx,0,4,07,00,EB,00,00,00,00,00,
6641790,00000288,false,Rx,0,8,75,53,00,00,00,56,00,00,
6641806,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
6641822,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
6642984,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
6643240,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6643486,000005A0,false,Rx,0,8,64,01,00,32,9E,00,00,30,
6644993,00000050,false,Rx,0,4,00,01,80,81,00,00,00,00,
6645255,00000480,false,Rx,0,8,53,22,00,00,19,06,00,6E,
6649984,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,93,
6651244,00000280,false,Rx,0,8,01,71,00,00,71,00,2B,00,
6651420,00000488,false,Rx,0,8,89,00,00,7F,A6,00,00,50,
6655230,00000588,false,Rx,0,8,E9,01,7F,00,60,00,00,00,
6657001,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,94,
6657252,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6657506,000005A0,false,Rx,0,8,64,01,00,E0,AB,00,00,30,
6661804,00000288,false,Rx,0,8,75,53,00,00,00,56,00,00,
6661831,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
6662331,00000011,false,Rx,0,6,DC,7F,1B,B5,CB,CB,00,00,
6663951,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,95,
6664963,00000050,false,Rx,0,4,00,01,90,91,00,00,00,00,
6665219,00000480,false,Rx,0,8,53,22,00,00,19,06,00,6E,
6668202,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
6668531,000005D8,false,Rx,0,8,15,04,00,03,01,00,00,00,
6668852,000005D0,false,Rx,0,6,80,47,51,30,24,41,00,00,
6669183,00000520,false,Rx,0,8,51,67,01,42,00,75,34,04,
6671030,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,96,
6671276,00000280,false,Rx,0,8,01,71,00,00,71,00,2B,00,
6671530,00000488,false,Rx,0,8,B9,00,00,7F,A6,00,00,60,
6671776,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6672023,000005A0,false,Rx,0,8,64,01,00,8E,B9,00,00,30,
6675230,00000588,false,Rx,0,8,E9,02,7F,00,62,00,00,00,
6677985,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,97,
6681855,00000288,false,Rx,0,8,75,53,00,00,00,56,00,00,
6681879,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
6685020,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,98,
6685157,00000050,false,Rx,0,4,00,01,A0,A1,00,00,00,00,
6685403,00000480,false,Rx,0,8,53,22,00,00,19,06,00,6E,
6685657,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6685903,000005A0,false,Rx,0,8,64,01,00,3C,C7,00,00,30,
6691230,00000280,false,Rx,0,8,01,71,00,00,71,00,2B,00,
6691479,00000488,false,Rx,0,8,A9,00,00,7F,A6,00,00,70,
6691733,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
6692056,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,99,
6695263,00000588,false,Rx,0,8,E9,02,7F,00,63,00,00,00,
6699008,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9A,
6699257,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6699511,000005A0,false,Rx,0,8,64,01,00,EA,D4,00,00,30,
6701839,00000288,false,Rx,0,8,8F,53,00,00,00,56,00,00,
6701866,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
6705046,00000050,false,Rx,0,4,00,01,B0,B1,00,00,00,00,
6705233,00000480,false,Rx,0,8,A4,22,00,00,19,06,00,99,
6706016,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9B,
6711197,00000280,false,Rx,0,8,01,71,00,00,71,00,2B,00,
6711448,00000488,false,Rx,0,8,59,00,00,7F,A6,00,00,80,
6713063,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9C,
6713315,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6713569,000005A0,false,Rx,0,8,64,01,00,98,E2,00,00,30,
6715254,00000588,false,Rx,0,8,E9,02,7F,00,63,00,00,00,
6716265,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
6720006,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9D,
6721858,00000288,false,Rx,0,8,8F,53,00,00,00,56,00,00,
6721888,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
6725123,00000050,false,Rx,0,4,00,01,C0,C1,00,00,00,00,
6725256,00000480,false,Rx,0,8,A4,22,00,00,19,06,00,99,
6727023,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9E,
6727275,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6727529,000005A0,false,Rx,0,8,64,01,00,46,F0,00,00,30,
6731183,00000280,false,Rx,0,8,01,71,00,00,71,00,2B,00,
6731434,00000488,false,Rx,0,8,49,00,00,7F,A6,00,00,90,
6734037,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9F,
6735200,00000588,false,Rx,0,8,E9,02,7F,00,63,00,00,00,
6741869,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,90,
6741891,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6741907,00000288,false,Rx,0,8,8F,53,00,00,00,56,00,00,
6741923,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
6741939,00000570,false,Rx,0,4,07,00,EB,00,00,00,00,00,
6742115,000005A0,false,Rx,0,8,64,01,00,F4,FD,00,00,30,
6742367,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
6745066,00000050,false,Rx,0,4,00,01,D0,D1,00,00,00,00,
6745315,00000480,false,Rx,0,8,A4,22,00,00,19,06,00,99,
6748073,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,91,
6751205,00000280,false,Rx,0,8,01,71,00,00,71,00,2B,00,
6751451,00000488,false,Rx,0,8,79,00,00,7F,A6,00,00,A0,
6755040,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
6755287,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6755540,00000588,false,Rx,0,8,E9,02,7F,00,63,00,00,00,
6755786,000005A0,false,Rx,0,8,64,01,00,A2,0B,00,00,30,
