Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5331650,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
5332474,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9D,
5339470,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9E,
5339724,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5339970,000005A0,false,Rx,0,8,64,01,00,66,15,00,00,30,
5341965,00000050,false,Rx,0,4,00,01,10,11,00,00,00,00,
5347174,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9F,
5353521,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,90,
5353729,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5353975,000005A0,false,Rx,0,8,64,01,00,14,23,00,00,30,
5356579,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
5360542,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,91,
5361931,00000050,false,Rx,0,4,00,01,20,21,00,00,00,00,
5367633,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
5367867,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5368091,000005A0,false,Rx,0,8,64,01,00,C2,30,00,00,30,
5374508,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,93,
5380752,00000570,false,Rx,0,4,07,00,00,00,00,00,00,00,
5381537,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,94,
5381713,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5381960,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
5382133,00000050,false,Rx,0,4,00,01,30,31,00,00,00,00,
5382384,000005A0,false,Rx,0,8,64,01,00,70,3E,00,00,30,
5388618,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,95,
5391991,00000588,false,Rx,0,8,E0,00,00,00,00,00,00,00,
5395527,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,96,
5395778,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5396028,000005A0,false,Rx,0,8,64,01,00,1E,4C,00,00,30,
5397948,00000288,false,Rx,0,8,0C,52,10,00,00,56,00,00,
5398202,00000380,false,Rx,0,8,00,4D,00,00,00,00,00,00,
5401943,00000480,false,Rx,0,8,19,20,00,00,00,FF,00,C6,
5402122,00000050,false,Rx,0,4,00,01,40,41,00,00,00,00,
5402606,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,97,
5407977,00000320,false,Rx,0,8,02,06,00,01,00,00,00,00,
5408164,00000280,false,Rx,0,8,01,00,00,00,00,00,2C,00,
5408410,00000488,false,Rx,0,8,C9,00,00,7F,A6,00,00,10,
5408664,000005D8,false,Rx,0,8,15,04,00,03,01,00,00,00,
5408910,000005D0,false,Rx,0,6,80,47,51,30,24,41,00,00,
5409622,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,98,
5409877,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5410246,000005A0,false,Rx,0,8,64,01,00,CC,59,00,00,30,
5412025,00000588,false,Rx,0,8,E5,00,7F,00,31,00,00,00,
5416542,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,99,
5417930,00000288,false,Rx,0,8,0C,52,00,00,00,00,00,00,
5418254,00000380,false,Rx,0,8,00,4D,00,00,00,00,00,00,
5421946,00000480,false,Rx,0,8,19,22,00,00,19,06,00,24,
5422134,00000050,false,Rx,0,4,00,01,50,51,00,00,00,00,
5423603,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9A,
5423854,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5424105,000005A0,false,Rx,0,8,64,01,00,7A,67,00,00,30,
5428080,00000280,false,Rx,0,8,01,00,00,00,00,00,2C,00,
5428341,00000488,false,Rx,0,8,F9,00,00,7F,A6,00,00,20,
5430612,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9B,
5431926,00000588,false,Rx,0,8,ED,00,7F,00,4A,00,00,00,
5432939,00000320,false,Rx,0,8,02,06,00,01,00,00,00,00,
5437590,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9C,
5437838,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5438091,00000288,false,Rx,0,8,0C,52,00,00,00,56,00,00,
5438339,00000380,false,Rx,0,8,00,4D,00,08,00,00,00,00,
5438518,000005A0,false,Rx,0,8,64,01,00,28,75,00,00,30,
5441948,00000480,false,Rx,0,8,19,22,00,00,19,06,00,24,
5442129,00000050,false,Rx,0,4,00,01,60,61,00,00,00,00,
5444660,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9D,
5448004,00000280,false,Rx,0,8,01,74,00,00,74,00,2C,00,
5448190,00000488,false,Rx,0,8,E9,00,00,7F,A6,00,00,30,
5451640,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9E,
5451888,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5452138,00000588,false,Rx,0,8,E9,01,7F,00,57,00,00,00,
5452390,000005A0,false,Rx,0,8,64,01,00,D6,82,00,00,30,
5457415,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
5457748,00000420,false,Rx,0,8,06,78,78,43,00,00,FF,00,
5457996,00000288,false,Rx,0,8,75,52,00,00,00,56,00,00,
5458249,00000380,false,Rx,0,8,00,4D,00,08,00,00,00,00,
5458578,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9F,
5461932,00000480,false,Rx,0,8,53,22,00,00,19,06,00,6E,
5462107,00000050,false,Rx,0,4,00,01,70,71,00,00,00,00,
